metaneighbor_cluster,metaneighbor_cluster_label,cross_species_cluster,subclass,subclass_color,within_species_clusters,number_of_clusters,present_in_species,number_of_species
lamp5_sncg_vip|17,Vip_2,Vip_2,Vip,#a45fbf,"human|Vip_12, human|Vip_18, human|Vip_20, chimp|Vip_10, chimp|Vip_11, chimp|Vip_14, gorilla|Vip_17, gorilla|Vip_2, rhesus|Vip_3, marmoset|Vip_6, marmoset|Vip_7, marmoset|Vip_8, marmoset|Vip_9",13,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|22,Vip_3,Vip_3,Vip,#a45fbf,"human|Vip_2, human|Vip_23, human|Vip_3, chimp|Vip_6, chimp|Vip_7, chimp|Vip_8, gorilla|Vip_16, gorilla|Vip_4, gorilla|Vip_5, gorilla|Vip_6, rhesus|Vip_5, rhesus|Vip_6, marmoset|Vip_10",13,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|15,Vip_4,Vip_4,Vip,#a45fbf,"human|Vip_1, human|Vip_11, human|Vip_13, chimp|Vip_5, gorilla|Vip_14, rhesus|Vip_4, marmoset|Vip_13",7,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|25,Vip_5,Vip_5,Vip,#a45fbf,"human|Vip_4, human|Vip_7, chimp|Vip_2, chimp|Vip_3, gorilla|Vip_1, rhesus|Vip_10, marmoset|Vip_3",7,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|26,Vip_6,Vip_6,Vip,#a45fbf,"human|Vip_5, chimp|Vip_19, gorilla|Vip_11, rhesus|Vip_11, marmoset|Vip_1",5,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|27,Vip_7,Vip_7,Vip,#a45fbf,"human|Vip_6, human|Vip_8, human|Vip_9, chimp|Vip_18, chimp|Vip_20, gorilla|Vip_10, gorilla|Vip_12, gorilla|Vip_13, rhesus|Vip_12, rhesus|Vip_13, rhesus|Vip_14, rhesus|Vip_15, rhesus|Vip_2, marmoset|Vip_11",14,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|16,Vip_9,Vip_7,Vip,#a45fbf,"human|Vip_10, chimp|Vip_4, marmoset|Vip_12",3,"human, chimp, marmoset",3
lamp5_sncg_vip|8,Sncg_4,Vip_8,Sncg,#df70ff,"human|Sncg_1, chimp|Sncg_7, gorilla|Sncg_7, marmoset|Sncg_2",4,"human, chimp, gorilla, marmoset",4
lamp5_sncg_vip|18,Vip_12,Vip_8,Vip,#a45fbf,"human|Vip_14, chimp|Vip_16, rhesus|Vip_1, marmoset|Vip_5",4,"human, chimp, rhesus, marmoset",4
lamp5_sncg_vip|19,Vip_13,Vip_8,Vip,#a45fbf,"human|Vip_15, chimp|Vip_1, chimp|Vip_12, chimp|Vip_15, gorilla|Vip_8, gorilla|Vip_9, rhesus|Vip_8",7,"human, chimp, gorilla, rhesus",4
lamp5_sncg_vip|9,Vip_8,Vip_8,Vip,#a45fbf,"human|Sncg_2, human|Sncg_8, human|Vip_16, chimp|Sncg_10, chimp|Vip_17, gorilla|Sncg_5, gorilla|Vip_7, rhesus|Sncg_5, rhesus|Sncg_6, rhesus|Vip_9, marmoset|Sncg_9, marmoset|Vip_4",12,"human, chimp, gorilla, rhesus, marmoset",5
glia|15,VLMC_1,VLMC_1,VLMC,#697255,"human|VLMC_2, chimp|VLMC_1, gorilla|VLMC_1, gorilla|VLMC_2, rhesus|VLMC_2, marmoset|VLMC_1",6,"human, chimp, gorilla, rhesus, marmoset",5
glia|14,VLMC_2,VLMC_1,VLMC,#697255,"human|VLMC_1, gorilla|VLMC_3, gorilla|VLMC_4, rhesus|VLMC_1, marmoset|VLMC_2, marmoset|VLMC_3, marmoset|VLMC_4",7,"human, gorilla, rhesus, marmoset",4
